state,year,unemployment_rate
Alabama,2019.0,3.2   
Alaska,2019.0,5.6   
Arizona,2019.0,4.8   
Arkansas,2019.0,3.5   
California,2019.0,4.1   
Los Angeles County,2019.0,4.5   
Colorado,2019.0,2.7   
Connecticut,2019.0,3.6   
Delaware,2019.0,3.6   
District of Columbia,2019.0,5.5   
Florida,2019.0,3.2   
Georgia,2019.0,3.6   
Hawaii,2019.0,2.5   
Idaho,2019.0,2.9   
Illinois,2019.0,4.0   
Indiana,2019.0,3.3   
Iowa,2019.0,2.7   
Kansas,2019.0,3.2   
Kentucky,2019.0,4.1   
Louisiana,2019.0,4.6   
Maine,2019.0,2.9   
Maryland,2019.0,3.4   
Massachusetts,2019.0,3.0   
Michigan,2019.0,4.1   
Minnesota,2019.0,3.3   
Mississippi,2019.0,5.5   
Missouri,2019.0,3.2   
Montana,2019.0,3.5   
Nebraska,2019.0,3.1   
Nevada,2019.0,4.1   
New Hampshire,2019.0,2.6   
New Jersey,2019.0,3.5   
New Mexico,2019.0,5.0   
New York,2019.0,3.9   
New York city,2019.0,4.0   
North Carolina,2019.0,3.9   
North Dakota,2019.0,2.2   
Ohio,2019.0,4.1   
Oklahoma,2019.0,3.1   
Oregon,2019.0,3.7   
Pennsylvania,2019.0,4.3   
Rhode Island,2019.0,3.5   
South Carolina,2019.0,2.8   
South Dakota,2019.0,2.7   
Tennessee,2019.0,3.3   
Texas,2019.0,3.5   
Utah,2019.0,2.5   
Vermont,2019.0,2.1   
Virginia,2019.0,2.8   
Washington,2019.0,4.2   
West Virginia,2019.0,4.9   
Wisconsin,2019.0,3.2   
Wyoming,2019.0,3.7   
Alabama,2020.0,6.4   
Alaska,2020.0,8.3   
Arizona,2020.0,7.8   
Arkansas,2020.0,6.1   
California,2020.0,10.1   
Los Angeles County,2020.0,12.3   
Colorado,2020.0,6.8   
Connecticut,2020.0,8.0   
Delaware,2020.0,7.5   
District of Columbia,2020.0,8.0   
Florida,2020.0,8.0   
Georgia,2020.0,6.5   
Hawaii,2020.0,11.6   
Idaho,2020.0,5.5   
Illinois,2020.0,9.3   
Indiana,2020.0,7.3   
Iowa,2020.0,5.2   
Kansas,2020.0,5.8   
Kentucky,2020.0,6.5   
Louisiana,2020.0,8.6   
Maine,2020.0,5.1   
Maryland,2020.0,6.5   
Massachusetts,2020.0,9.3   
Michigan,2020.0,10.0   
Minnesota,2020.0,6.3   
Mississippi,2020.0,7.9   
Missouri,2020.0,6.1   
Montana,2020.0,5.8   
Nebraska,2020.0,4.3   
Nevada,2020.0,13.5   
New Hampshire,2020.0,6.7   
New Jersey,2020.0,9.5   
New Mexico,2020.0,7.9   
New York,2020.0,9.8   
New York city,2020.0,12.2   
North Carolina,2020.0,7.2   
North Dakota,2020.0,5.0   
Ohio,2020.0,8.2   
Oklahoma,2020.0,6.3   
Oregon,2020.0,7.6   
Pennsylvania,2020.0,8.8   
Rhode Island,2020.0,9.2   
South Carolina,2020.0,6.0   
South Dakota,2020.0,4.1   
Tennessee,2020.0,7.4   
Texas,2020.0,7.7   
Utah,2020.0,4.8   
Vermont,2020.0,5.6   
Virginia,2020.0,6.5   
Washington,2020.0,8.7   
West Virginia,2020.0,8.3   
Wisconsin,2020.0,6.4   
Wyoming,2020.0,5.9   
Alabama,2021.0,3.4   
Alaska,2021.0,6.4   
Arizona,2021.0,5.0   
Arkansas,2021.0,4.0   
California,2021.0,7.3   
Los Angeles County,2021.0,9.0   
Colorado,2021.0,5.5   
Connecticut,2021.0,6.4   
Delaware,2021.0,5.5   
District of Columbia,2021.0,6.8   
Florida,2021.0,4.7   
Georgia,2021.0,3.9   
Hawaii,2021.0,6.0   
Idaho,2021.0,3.6   
Illinois,2021.0,6.1   
Indiana,2021.0,3.9   
Iowa,2021.0,3.9   
Kansas,2021.0,3.4   
Kentucky,2021.0,4.4   
Louisiana,2021.0,5.6   
Maine,2021.0,4.7   
Maryland,2021.0,5.2   
Massachusetts,2021.0,5.3   
Michigan,2021.0,5.7   
Minnesota,2021.0,3.7   
Mississippi,2021.0,5.4   
Missouri,2021.0,4.1   
Montana,2021.0,3.4   
Nebraska,2021.0,2.7   
Nevada,2021.0,6.8   
New Hampshire,2021.0,3.5   
New Jersey,2021.0,6.7   
New Mexico,2021.0,7.1   
New York,2021.0,7.1   
New York city,2021.0,10.1   
North Carolina,2021.0,4.8   
North Dakota,2021.0,3.1   
Ohio,2021.0,5.3   
Oklahoma,2021.0,4.0   
Oregon,2021.0,5.2   
Pennsylvania,2021.0,5.9   
Rhode Island,2021.0,5.6   
South Carolina,2021.0,3.9   
South Dakota,2021.0,2.6   
Tennessee,2021.0,4.5   
Texas,2021.0,5.6   
Utah,2021.0,2.8   
Vermont,2021.0,3.5   
Virginia,2021.0,3.9   
Washington,2021.0,5.2   
West Virginia,2021.0,5.1   
Wisconsin,2021.0,3.8   
Wyoming,2021.0,4.5   
Alabama,2022.0,2.5   
Alaska,2022.0,4.4   
Arizona,2022.0,3.8   
Arkansas,2022.0,3.2   
California,2022.0,4.3   
Los Angeles County,2022.0,5.0   
Colorado,2022.0,3.1   
Connecticut,2022.0,4.0   
Delaware,2022.0,4.2   
District of Columbia,2022.0,4.7   
Florida,2022.0,3.0   
Georgia,2022.0,3.1   
Hawaii,2022.0,3.2   
Idaho,2022.0,2.9   
Illinois,2022.0,4.6   
Indiana,2022.0,3.1   
Iowa,2022.0,2.9   
Kansas,2022.0,2.8   
Kentucky,2022.0,4.0   
Louisiana,2022.0,3.7   
Maine,2022.0,2.8   
Maryland,2022.0,3.0   
Massachusetts,2022.0,3.7   
Michigan,2022.0,4.2   
Minnesota,2022.0,2.4   
Mississippi,2022.0,3.8   
Missouri,2022.0,2.6   
Montana,2022.0,2.7   
Nebraska,2022.0,2.2   
Nevada,2022.0,5.2   
New Hampshire,2022.0,2.4   
New Jersey,2022.0,3.9   
New Mexico,2022.0,4.1   
New York,2022.0,4.3   
New York city,2022.0,5.6   
North Carolina,2022.0,3.7   
North Dakota,2022.0,2.1   
Ohio,2022.0,4.0   
Oklahoma,2022.0,3.0   
Oregon,2022.0,4.0   
Pennsylvania,2022.0,4.2   
Rhode Island,2022.0,3.2   
South Carolina,2022.0,3.2   
South Dakota,2022.0,1.9   
Tennessee,2022.0,3.4   
Texas,2022.0,3.9   
Utah,2022.0,2.4   
Vermont,2022.0,2.3   
Virginia,2022.0,2.7   
Washington,2022.0,4.1   
West Virginia,2022.0,3.9   
Wisconsin,2022.0,2.8   
Wyoming,2022.0,3.4   
Alabama,2023.0,2.5   
Alaska,2023.0,4.3   
Arizona,2023.0,3.7   
Arkansas,2023.0,3.2   
California,2023.0,4.7   
Los Angeles County,2023.0,5.1   
Colorado,2023.0,3.3   
Connecticut,2023.0,3.2   
Delaware,2023.0,3.9   
District of Columbia,2023.0,4.9   
Florida,2023.0,2.9   
Georgia,2023.0,3.2   
Hawaii,2023.0,2.9   
Idaho,2023.0,3.2   
Illinois,2023.0,4.5   
Indiana,2023.0,3.4   
Iowa,2023.0,3.0   
Kansas,2023.0,2.9   
Kentucky,2023.0,4.2   
Louisiana,2023.0,3.7   
Maine,2023.0,2.6   
Maryland,2023.0,2.2   
Massachusetts,2023.0,3.5   
Michigan,2023.0,3.9   
Minnesota,2023.0,2.8   
Mississippi,2023.0,3.1   
Missouri,2023.0,3.1   
Montana,2023.0,2.7   
Nebraska,2023.0,2.3   
Nevada,2023.0,5.1   
New Hampshire,2023.0,2.3   
New Jersey,2023.0,4.3   
New Mexico,2023.0,3.7   
New York,2023.0,4.0   
New York city,2023.0,5.0   
North Carolina,2023.0,3.5   
North Dakota,2023.0,2.0   
Ohio,2023.0,3.7   
Oklahoma,2023.0,3.1   
Oregon,2023.0,3.8   
Pennsylvania,2023.0,3.7   
Rhode Island,2023.0,3.0   
South Carolina,2023.0,3.0   
South Dakota,2023.0,1.8   
Tennessee,2023.0,3.3   
Texas,2023.0,4.0   
Utah,2023.0,2.7   
Vermont,2023.0,1.9   
Virginia,2023.0,2.7   
Washington,2023.0,4.2   
West Virginia,2023.0,3.9   
Wisconsin,2023.0,2.8   
Wyoming,2023.0,2.9   
